annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
186,1060,2483,116,680,208,494,1.0
187,1060,25438,559,204,244,255,0.99
188,1060,13395,114,62,242,471,0.75
189,1060,19552,538,643,345,473,0.67
190,1060,12778,526,653,368,470,0.62
191,1060,12081,132,80,219,506,0.34
192,1064,3483,605,845,274,188,1.0
193,1064,25469,50,857,373,218,1.0
194,1064,20238,616,192,227,219,0.99
195,1064,34597,56,130,464,419,0.99
196,1065,3483,126,272,269,190,1.0
197,1065,25469,573,231,377,221,0.99
198,1065,20238,137,848,236,229,0.99
199,1065,34597,486,687,459,435,0.99
200,1067,3483,132,288,276,177,1.0
201,1067,16262,117,847,252,240,1.0
202,1067,28763,674,258,214,198,0.99
203,1067,31885,558,671,411,530,0.99
204,1069,16548,641,165,241,227,1.0
205,1069,1900,626,890,203,141,1.0
206,1069,16232,136,875,178,166,0.99
207,1069,21771,114,205,191,185,0.97
208,1070,1900,174,280,207,140,1.0
209,1070,16548,102,864,241,242,1.0
210,1070,21771,683,883,203,192,0.95
211,1070,16232,669,280,182,160,0.91
212,1070,22347,683,878,195,199,0.35
213,1073,3483,538,778,264,226,1.0
214,1073,36637,633,174,186,250,1.0
215,1073,22347,118,197,200,194,0.99
216,1073,27777,145,774,180,202,0.98
217,1075,3544,108,163,195,196,0.99
218,1075,16551,94,598,330,450,0.99
219,1075,4543,614,140,198,205,0.98
220,1075,1900,604,781,205,215,0.82
221,1076,16551,536,195,324,433,0.99
222,1076,3544,666,902,222,207,0.99
223,1076,4543,133,920,213,208,0.99
224,1076,1900,163,286,212,208,0.71
225,1077,3544,115,167,209,202,0.99
226,1077,16551,132,644,335,453,0.99
227,1077,4543,640,141,210,209,0.98
228,1077,1900,626,808,218,223,0.63
229,1077,3544,637,814,180,210,0.34
230,1079,3483,649,754,208,269,1.0
231,1079,20877,68,800,332,241,1.0
232,1079,29667,625,184,224,215,0.99
233,1079,22347,120,219,209,200,0.99
234,108,2483,600,81,248,482,1.0
235,108,12778,106,33,291,542,0.99
236,108,25438,147,844,250,256,0.99
237,108,22362,594,736,249,418,0.87
238,108,12081,577,759,263,411,0.26
239,1080,3483,620,724,210,269,1.0
240,1080,29667,596,180,219,215,1.0
241,1080,20877,35,754,341,256,1.0
242,1080,22347,101,213,209,193,0.99
243,1081,1900,611,901,202,133,1.0
244,1081,16232,120,876,182,162,0.98
245,1081,16551,476,213,451,311,0.97
246,1081,25469,99,191,263,228,0.76
247,1081,27733,464,161,487,365,0.62
248,1085,3483,625,719,209,271,1.0
249,1085,16232,627,222,187,184,1.0
250,1085,25367,34,124,442,417,1.0
251,1085,20877,83,722,332,246,1.0
252,1087,3544,139,178,195,197,0.99
253,1087,16551,565,689,262,405,0.71
254,1087,16551,83,597,300,456,0.67
255,1087,29667,628,199,208,224,0.58
256,1087,30308,103,575,305,529,0.46
257,1087,30308,583,707,258,437,0.37
258,1087,22362,98,525,287,572,0.3
259,1087,4543,622,219,230,198,0.26
260,1089,3544,631,885,220,212,0.98
261,1089,16551,577,197,282,432,0.75
262,1089,16548,107,844,231,212,0.43
263,1089,30308,162,172,240,381,0.43
264,1089,16262,122,833,225,229,0.4
265,1089,22362,588,183,284,473,0.4
266,1089,29667,111,838,225,211,0.37
267,109,3483,149,220,249,223,1.0
268,109,19861,642,275,218,174,0.99
269,109,25367,583,708,380,513,0.92
270,109,35206,103,774,307,389,0.9
271,109,27733,100,778,314,394,0.51
272,109,19552,602,755,374,477,0.36
273,1092,1900,654,847,210,161,1.0
274,1092,16548,87,915,239,240,0.99
275,1092,33009,580,230,284,262,0.61
276,1092,34597,589,228,288,278,0.51
277,1092,2483,554,189,331,307,0.44
278,1092,12247,132,255,241,205,0.41
279,1092,20238,149,250,230,227,0.41
280,1092,25469,151,257,221,226,0.3
281,1093,3483,148,219,250,223,1.0
282,1093,16262,99,849,253,245,1.0
283,1093,19861,644,277,210,172,1.0
284,1093,34597,503,688,453,464,0.99
285,1095,3483,599,867,260,232,1.0
286,1095,16262,637,175,248,234,1.0
287,1095,19861,125,863,223,169,1.0
288,1095,34597,48,129,443,408,0.99
289,1096,3544,92,197,202,197,0.98
290,1096,16551,475,119,436,317,0.96
291,1096,41768,550,770,330,257,0.82
292,1096,16548,154,663,237,375,0.66
293,1096,27733,461,58,468,385,0.4
294,1096,19232,175,670,206,368,0.36
295,1096,35206,539,778,317,238,0.36
296,1096,27926,171,686,216,348,0.36
297,1096,29451,154,622,229,430,0.35
298,1096,27993,547,774,299,242,0.25
299,1097,3544,109,205,208,200,0.99
300,1097,16551,510,144,456,299,0.98
301,1097,41768,574,816,331,241,0.83
302,1097,16548,184,712,238,368,0.64
303,1097,27733,492,76,484,372,0.41
304,1097,27993,570,815,295,230,0.34
305,1097,29451,185,683,221,402,0.29
306,1097,35206,581,823,306,232,0.26
307,1098,16551,12,790,461,333,0.99
308,1098,3544,678,861,212,211,0.98
309,1098,16548,572,226,223,343,0.87
310,1098,41768,132,252,306,242,0.6
311,1098,27993,136,264,262,213,0.58
312,1098,29451,578,175,197,423,0.43
313,1098,27733,9,730,491,387,0.35
314,110,3483,599,870,261,230,1.0
315,110,19861,125,862,222,170,1.0
316,110,25367,41,36,368,492,0.96
317,110,27733,579,95,287,377,0.87
318,110,35206,578,93,297,382,0.44
319,1100,3483,538,777,263,228,1.0
320,1100,36637,636,175,183,248,1.0
321,1100,27777,143,772,180,206,0.97
322,1100,31885,41,97,422,481,0.97
323,1101,36637,668,180,183,251,1.0
324,1101,3483,564,813,264,219,1.0
325,1101,27777,177,812,175,200,0.98
326,1101,31885,58,123,446,474,0.97
327,1105,3483,609,790,274,212,1.0
328,1105,27733,125,768,314,276,1.0
329,1105,35206,600,131,255,385,0.99
330,1105,22347,115,211,204,197,0.98
331,1109,3483,589,842,282,174,1.0
332,1109,16262,624,179,242,236,1.0
333,1109,28763,95,852,220,206,0.99
334,1109,28763,142,224,212,205,0.99
335,1111,3483,561,810,287,181,1.0
336,1111,29667,601,176,221,216,1.0
337,1111,28763,61,813,219,206,0.99
338,1111,28763,112,192,218,195,0.98
339,1114,3483,131,288,280,178,1.0
340,1114,30308,561,702,385,415,1.0
341,1114,35206,107,675,192,435,1.0
342,1114,28763,673,257,216,198,0.99
343,1115,3483,562,811,287,179,1.0
344,1115,35206,653,136,195,410,1.0
345,1115,30308,46,127,370,402,1.0
346,1115,28763,62,814,220,206,0.99
347,1116,3483,589,842,283,174,1.0
348,1116,35206,682,152,199,412,1.0
349,1116,30308,55,142,380,416,1.0
350,1116,28763,94,852,219,206,0.99
351,1118,16548,101,880,240,243,1.0
352,1118,3544,674,856,216,215,0.99
353,1118,16548,576,234,224,337,0.88
354,1118,29451,584,182,194,427,0.46
355,1118,1900,201,243,168,242,0.39
356,1118,3544,205,243,152,219,0.37
357,1118,21325,192,232,174,254,0.31
358,1118,19607,210,226,155,255,0.25
359,1119,16548,647,146,234,229,1.0
360,1119,3544,108,209,210,201,0.99
361,1119,16548,179,707,240,364,0.73
362,1119,1900,636,829,173,242,0.45
363,1119,3544,640,824,153,240,0.32
364,1119,19232,201,712,208,347,0.29
365,1119,29451,181,691,222,397,0.27
366,1119,21325,634,823,168,249,0.27
367,1119,27926,197,722,225,341,0.26
368,112,3544,125,235,210,200,0.99
369,112,33009,562,808,367,204,0.99
370,112,16551,149,594,309,459,0.98
371,112,29667,634,190,221,228,0.75
372,1121,3483,127,271,270,190,1.0
373,1121,25469,577,192,326,283,1.0
374,1121,28763,622,856,217,216,0.99
375,1121,29667,139,872,225,229,0.9
376,1121,16548,146,880,230,218,0.37
377,1123,3483,124,307,267,200,1.0
378,1123,16262,151,803,253,242,1.0
379,1123,25367,491,667,451,436,1.0
380,1123,27733,567,262,298,269,1.0
381,1125,3483,607,790,276,212,1.0
382,1125,16262,589,223,247,235,1.0
383,1125,25367,64,158,448,428,1.0
384,1125,27733,124,767,314,275,1.0
385,1126,3483,145,290,210,257,1.0
386,1126,16262,110,836,249,245,1.0
387,1126,20877,545,294,328,234,1.0
388,1126,31885,500,752,458,450,0.96
389,1129,3483,123,306,267,200,1.0
390,1129,20238,112,857,232,226,1.0
391,1129,27733,568,261,299,267,1.0
392,1129,22347,679,829,219,204,0.99
393,113,3544,657,833,219,210,0.99
394,113,33009,73,269,363,222,0.98
395,113,16551,529,235,299,459,0.98
396,113,16262,146,833,211,241,0.41
397,113,29667,128,842,225,236,0.36
398,113,16548,133,862,225,215,0.32
399,1135,1900,151,254,199,163,1.0
400,1135,33009,546,831,374,203,0.99
401,1135,16551,616,42,295,499,0.96
402,1135,20014,81,782,304,292,0.88
403,1135,16262,73,786,295,305,0.63
404,1135,22362,625,35,260,497,0.27
405,1136,1900,645,855,204,173,1.0
406,1136,33009,84,254,369,211,0.99
407,1136,16551,86,704,280,502,0.96
408,1136,20014,640,216,259,305,0.89
409,1136,16262,606,210,291,314,0.84
410,1138,3483,563,810,288,180,1.0
411,1138,20238,593,173,223,214,1.0
412,1138,28763,63,814,220,207,0.99
413,1138,34597,34,65,370,528,0.68
414,1138,19552,35,80,375,487,0.46
415,114,16551,127,540,305,472,0.99
416,114,33009,538,763,360,217,0.99
417,114,3544,107,228,210,195,0.99
418,114,29667,606,177,211,213,0.62
419,114,27777,627,193,196,214,0.32
420,114,4543,596,207,235,196,0.27
421,114,25438,602,190,215,223,0.26
422,1140,3483,589,842,284,175,1.0
423,1140,20238,621,174,226,222,0.99
424,1140,28763,97,853,219,207,0.99
425,1140,34597,45,89,379,510,0.76
426,1140,19552,52,108,378,472,0.5
427,1140,25367,23,79,398,527,0.3
428,1141,25438,559,195,246,253,0.99
429,1141,2483,70,650,299,445,0.99
430,1141,12778,564,553,303,527,0.98
431,1141,12081,67,118,227,430,0.66
432,1141,13395,76,107,225,427,0.34
433,1141,22362,69,100,226,440,0.27
434,1142,2483,579,122,286,439,1.0
435,1142,25438,126,821,252,257,0.99
436,1142,12778,60,108,306,533,0.97
437,1142,12081,647,702,244,448,0.68
438,1142,13395,649,695,253,445,0.48
439,1143,2483,570,154,294,430,0.99
440,1143,25438,125,834,257,266,0.99
441,1143,12778,63,142,304,530,0.98
442,1143,12081,657,710,251,455,0.66
443,1143,13395,670,712,256,451,0.52
444,1144,3483,603,846,277,187,1.0
445,1144,16262,572,194,249,235,1.0
446,1144,25469,50,858,373,216,1.0
447,1144,31885,48,173,435,484,0.97
448,1148,3351,386,159,181,189,1.0
449,1148,16232,150,732,190,193,1.0
450,1148,41768,557,630,268,313,1.0
451,1149,16232,188,822,197,191,1.0
452,1149,3351,425,219,186,185,1.0
453,1149,41768,596,720,266,313,1.0
454,115,3483,123,307,268,200,1.0
455,115,27733,563,258,298,263,1.0
456,115,36637,107,882,262,172,0.99
457,115,25367,506,644,410,477,0.99
458,1150,3483,565,813,260,221,1.0
459,1150,29667,627,164,224,216,0.99
460,1150,27777,177,811,174,200,0.98
461,1150,34597,72,41,418,478,0.8
462,1150,19552,85,81,401,437,0.38
463,1153,3483,599,867,259,232,1.0
464,1153,19861,125,865,223,170,1.0
465,1153,16232,649,175,187,184,0.99
466,1153,22347,146,206,205,202,0.97
467,1154,3483,574,838,256,227,1.0
468,1154,19861,94,827,225,177,1.0
469,1154,16232,618,172,183,179,0.99
470,1154,22347,129,201,203,198,0.94
471,1155,3483,149,220,249,222,1.0
472,1155,16232,144,896,196,196,1.0
473,1155,19861,642,275,218,174,0.99
474,1155,22347,640,856,217,214,0.91
475,1156,16262,572,309,246,235,1.0
476,1156,3351,393,854,187,195,1.0
477,1156,13900,179,284,211,227,1.0
478,1157,3351,356,181,183,191,1.0
479,1157,16262,111,677,249,244,1.0
480,1157,13900,551,715,218,245,1.0
481,1158,3351,397,242,187,184,1.0
482,1158,13900,591,806,213,239,1.0
483,1158,16262,154,768,244,235,1.0
484,1159,3351,399,808,193,193,1.0
485,1159,18357,151,297,243,366,0.99
486,1159,16232,646,294,192,194,0.99
487,1161,3351,383,279,189,184,1.0
488,1161,16232,133,814,185,190,0.99
489,1161,18357,582,620,246,378,0.99
490,1163,3544,121,190,205,194,0.98
491,1163,29451,480,801,409,256,0.85
492,1163,16551,40,601,312,461,0.66
493,1163,30308,50,581,320,525,0.53
494,1163,29667,657,192,224,223,0.45
495,1163,16548,664,208,217,209,0.44
496,1163,22362,50,559,296,531,0.28
497,1163,34597,498,781,368,267,0.26
498,1164,3544,108,183,196,195,0.99
499,1164,29451,462,758,412,252,0.76
500,1164,16551,10,542,306,497,0.72
501,1164,30308,29,537,318,529,0.66
502,1164,16262,641,184,209,228,0.56
503,1164,34597,471,766,395,247,0.36
504,1164,29667,634,189,205,224,0.28
505,1166,3483,127,272,269,190,1.0
506,1166,36637,132,832,181,254,1.0
507,1166,25469,571,191,341,282,1.0
508,1166,25367,571,686,387,490,0.99
509,1167,3483,603,846,277,188,1.0
510,1167,36637,674,175,173,251,1.0
511,1167,25469,88,829,341,300,1.0
512,1167,25367,47,84,386,487,0.99
513,1168,3483,573,811,279,192,1.0
514,1168,30308,46,21,340,417,1.0
515,1168,25469,50,789,356,301,1.0
516,1168,29667,592,170,211,216,0.97
517,1170,3483,605,846,274,188,1.0
518,1170,30308,54,26,349,441,1.0
519,1170,25469,87,830,342,296,1.0
520,1170,29667,617,176,223,213,0.97
521,1171,16548,580,748,241,232,1.0
522,1171,3544,121,184,202,196,0.99
523,1171,4543,642,153,200,193,0.99
524,1171,16262,108,789,214,226,0.33
525,1173,16548,159,284,235,229,1.0
526,1173,3544,647,876,218,214,0.99
527,1173,4543,100,912,220,207,0.99
528,1173,29667,646,260,214,213,0.37
529,1173,16548,653,272,204,201,0.29
530,1173,27777,667,267,195,211,0.26
531,1174,3483,132,288,280,178,1.0
532,1174,30308,577,760,390,427,1.0
533,1174,29667,128,866,227,227,1.0
534,1174,28763,674,257,215,198,0.99
535,1176,3483,587,842,283,175,1.0
536,1176,30308,41,74,379,425,1.0
537,1176,29667,628,180,226,218,1.0
538,1176,28763,93,852,219,206,0.99
539,1178,3483,539,781,264,228,1.0
540,1178,20238,578,188,218,219,1.0
541,1178,27777,146,777,181,203,0.98
542,1178,31885,89,56,417,487,0.97
543,118,3351,457,846,189,192,1.0
544,118,16688,423,83,437,520,1.0
545,118,36637,72,305,221,223,0.7
546,118,13900,64,318,223,210,0.52
547,1180,3351,395,915,191,193,1.0
548,1180,21325,191,305,163,234,1.0
549,1180,19232,501,234,327,256,0.99
550,1184,1900,189,273,203,135,1.0
551,1184,16548,141,877,245,242,1.0
552,1184,16232,686,283,178,159,0.93
553,1184,16548,669,836,185,289,0.68
554,1184,18357,675,823,179,308,0.38
555,1184,38162,672,827,171,290,0.29
556,1185,1900,610,902,207,135,1.0
557,1185,16548,602,152,238,225,1.0
558,1185,16232,119,877,184,162,0.98
559,1185,16548,135,145,181,285,0.87
560,1186,2483,90,683,233,468,1.0
561,1186,3743,546,197,267,264,0.91
562,1186,12778,516,539,314,523,0.84
563,1186,13395,137,108,222,417,0.54
564,1186,12081,142,99,207,445,0.49
565,1186,19552,518,539,331,518,0.41
566,1186,3544,555,163,268,305,0.26
567,1187,2483,613,52,224,484,1.0
568,1187,3743,101,805,273,264,0.87
569,1187,12778,115,137,315,520,0.84
570,1187,13395,579,699,230,453,0.76
571,1187,12081,587,684,220,464,0.56
572,1187,19552,126,159,321,501,0.49
573,1187,31863,107,795,259,271,0.3
574,1189,2483,583,76,249,484,1.0
575,1189,12778,93,110,315,505,0.99
576,1189,3743,125,783,319,328,0.96
577,1189,12081,596,717,243,435,0.65
578,1189,13395,601,724,246,437,0.41
579,1189,22362,594,695,242,475,0.31
580,119,3351,293,193,186,189,1.0
581,119,16688,83,587,451,564,1.0
582,119,36637,660,704,219,222,0.83
583,119,13900,651,701,224,228,0.29
584,1190,2483,589,107,230,461,0.99
585,1190,12778,102,146,304,510,0.98
586,1190,3743,121,799,332,338,0.92
587,1190,12081,612,722,251,448,0.65
588,1190,22362,597,688,258,497,0.3
589,1190,13395,612,722,256,446,0.3
590,1191,2483,95,663,250,482,0.99
591,1191,12778,524,566,314,511,0.99
592,1191,3743,493,168,308,295,0.97
593,1191,12081,107,107,234,427,0.65
594,1191,13395,119,130,230,413,0.36
595,1191,22362,104,91,231,425,0.28
596,1192,1900,643,855,205,174,1.0
597,1192,33009,85,254,369,212,0.99
598,1192,16548,647,211,171,267,0.9
599,1192,16551,73,692,301,508,0.82
600,1192,22362,89,690,279,500,0.29
601,1192,24850,647,195,169,279,0.25
602,1194,1900,151,254,198,163,1.0
603,1194,33009,545,831,376,204,0.99
604,1194,16551,624,47,297,492,0.92
605,1194,16548,160,826,186,270,0.84
606,1194,30308,636,46,301,526,0.28
607,1196,35206,139,706,239,414,1.0
608,1196,3483,173,275,259,222,1.0
609,1196,28763,618,889,219,210,0.97
610,1196,27777,636,296,175,194,0.97
611,1197,3483,571,812,261,221,1.0
612,1197,35206,619,138,219,409,1.0
613,1197,28763,163,179,211,203,0.99
614,1197,27777,180,814,174,201,0.98
615,1198,3483,568,814,260,222,1.0
616,1198,28763,130,214,211,203,1.0
617,1198,20238,605,195,225,215,0.99
618,1198,27777,179,815,175,201,0.98
619,1199,3483,172,272,260,222,1.0
620,1199,28763,646,848,224,217,0.99
621,1199,20238,152,852,232,226,0.99
622,1199,27777,640,290,172,199,0.97
623,120,3351,334,255,184,184,1.0
624,120,16688,113,677,465,577,1.0
625,120,36637,698,795,219,216,0.87
626,120,13900,684,796,226,217,0.28
627,1201,16548,587,212,231,226,1.0
628,1201,3544,144,189,202,196,0.99
629,1201,16232,99,831,183,166,0.97
630,1201,12247,590,820,195,147,0.64
631,1201,1900,579,813,215,160,0.61
632,1201,22074,104,823,173,174,0.38
633,1204,3351,395,859,192,195,1.0
634,1204,32310,72,213,343,259,1.0
635,1204,22074,690,263,177,184,0.99
636,1206,3351,396,225,186,181,1.0
637,1206,32310,567,814,359,277,1.0
638,1206,22074,94,853,184,189,0.99
639,1207,3483,173,275,259,220,1.0
640,1207,16232,156,826,185,192,0.99
641,1207,27777,636,296,175,194,0.97
642,1207,22347,684,807,215,216,0.96
643,1209,3483,567,812,264,220,1.0
644,1209,22347,99,262,210,193,0.99
645,1209,27777,180,813,172,198,0.98
646,1209,16232,644,248,190,184,0.97
647,1209,19607,636,247,196,183,0.44
648,1210,3483,651,749,209,269,1.0
649,1210,35206,659,177,223,400,1.0
650,1210,20877,115,767,334,231,1.0
651,1210,34597,64,143,470,387,1.0
652,1212,35206,97,675,235,406,1.0
653,1212,3483,142,291,212,258,1.0
654,1212,34597,452,712,478,404,1.0
655,1212,20877,543,294,329,234,1.0
656,1213,2483,657,60,204,489,1.0
657,1213,25438,128,838,254,253,0.99
658,1213,12778,110,0,309,493,0.98
659,1213,13395,588,680,244,484,0.86
660,1213,12081,589,686,241,475,0.45
661,1214,2483,651,95,204,478,1.0
662,1214,25438,134,841,258,279,0.99
663,1214,12778,110,29,308,503,0.98
664,1214,13395,595,682,259,507,0.84
665,1214,12081,605,670,234,504,0.3
666,1216,3544,660,859,212,221,1.0
667,1216,16551,622,176,278,462,0.95
668,1216,27926,155,176,265,448,0.94
669,1216,16262,144,844,218,231,0.86
670,1216,22362,617,127,265,563,0.4
671,1216,16548,128,857,236,200,0.34
672,1219,29345,573,664,295,459,0.99
673,1219,3544,104,243,206,200,0.99
674,1219,30308,79,570,349,491,0.83
675,1219,16262,668,197,216,228,0.59
676,1219,16551,64,568,344,451,0.56
677,122,3483,574,811,278,194,1.0
678,122,25469,49,789,356,301,1.0
679,122,29667,592,169,215,220,0.98
680,122,25367,57,83,360,495,0.97
681,1220,29345,606,705,288,454,0.99
682,1220,3544,121,254,206,199,0.99
683,1220,30308,104,611,363,492,0.64
684,1220,16551,88,626,343,457,0.51
685,1220,16262,694,201,220,226,0.46
686,1220,16548,685,222,215,209,0.4
687,1222,3483,562,809,288,181,1.0
688,1222,36637,616,200,183,247,1.0
689,1222,28763,62,814,221,206,0.99
690,1222,27926,115,86,294,544,0.44
691,1222,33880,118,99,292,506,0.43
692,1222,25367,91,92,299,514,0.39
693,1224,3483,586,843,285,177,1.0
694,1224,36637,646,210,188,246,1.0
695,1224,28763,95,853,219,205,0.99
696,1224,33880,138,99,293,527,0.66
697,1224,25367,115,112,290,514,0.43
698,1224,27926,145,93,283,572,0.32
699,1226,3483,599,867,261,231,1.0
